uri_equipo,uri_equipo_temporada,temporada,ano_inicio,nombre_equipo,id_liga
https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2015,2015-2016,2015,Amics Castello,194
https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2015,2015-2016,2015,CB Prat,194
https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2015,2015-2016,2015,Caceres,194
https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2015,2015-2016,2015,Cafés Candelas Breogán,194
https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo/2015,2015-2016,2015,Clavijo CB,194
https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii/2015,2015-2016,2015,FC Barcelona II,194
https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015,2015-2016,2015,Hiopos Lleida,194
https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca,https://www.proballers.com/es/baloncesto/equipo/1564/levitec-huesca/2015,2015-2016,2015,Huesca,194
https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna/2015,2015-2016,2015,Leyma Coruña,194
https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo/2015,2015-2016,2015,Liberbank Oviedo,194
https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1/2015,2015-2016,2015,Melilla Ciudad Del Deporte 1,194
https://www.proballers.com/es/baloncesto/equipo/2113/navarra,https://www.proballers.com/es/baloncesto/equipo/2113/navarra/2015,2015-2016,2015,Navarra,194
https://www.proballers.com/es/baloncesto/equipo/670/ourense,https://www.proballers.com/es/baloncesto/equipo/670/ourense/2015,2015-2016,2015,Ourense,194
https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia/2015,2015-2016,2015,Palencia,194
https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma,https://www.proballers.com/es/baloncesto/equipo/2796/fibwi-palma/2015,2015-2016,2015,Palma,194
https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos,https://www.proballers.com/es/baloncesto/equipo/909/san-pablo-burgos/2015,2015-2016,2015,San Pablo Burgos,194
https://www.proballers.com/es/baloncesto/equipo/911/amics-castello,https://www.proballers.com/es/baloncesto/equipo/911/amics-castello/2016,2016-2017,2016,Amics Castello,194
https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club,https://www.proballers.com/es/baloncesto/equipo/2556/araberri-basket-club/2016,2016-2017,2016,Araberri Basket Club,194
https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat,https://www.proballers.com/es/baloncesto/equipo/2110/c-b-prat/2016,2016-2017,2016,CB Prat,194
https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/152/caceres/2016,2016-2017,2016,Caceres,194
https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan/2016,2016-2017,2016,Cafés Candelas Breogán,194
https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo/2016,2016-2017,2016,Clavijo CB,194
https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket,https://www.proballers.com/es/baloncesto/equipo/908/gipuzkoa-basket/2016,2016-2017,2016,Delteco GBC,194
