url_jugador,uri_equipo,temporada,anio_inicio
https://www.proballers.com/es/baloncesto/jugador/36652/eloy-almazan,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/38075/pelayo-larraona,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/43751/asier-zengotitabengoa,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/45677/marcos-suka-umu,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/46481/josep-franch,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/50425/jorge-sanz,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/50860/eduard-gatell,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/56559/javier-gonzalez,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/62392/alvaro-garcia,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/66483/brandon-edwards,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/69948/jorge-rodriguez,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/7235/hector-manzano,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/7251/eduardo-hernandez-sonseca,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/12858/juan-ballesta,https://www.proballers.com/es/baloncesto/equipo/670/ourense,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/17491/ander-martinez,https://www.proballers.com/es/baloncesto/equipo/670/ourense,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/21473/pedro-rivero,https://www.proballers.com/es/baloncesto/equipo/670/ourense,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/39058/danny-agbelese,https://www.proballers.com/es/baloncesto/equipo/670/ourense,2015-2016,2015
https://www.proballers.com/es/baloncesto/jugador/46963/jhornan-zamora,https://www.proballers.com/es/baloncesto/equipo/670/ourense,2015-2016,2015
