temporada,nombre_equipo,nombre_jugador,url_jugador,url_equipo_origen
2015-2016,Hiopos Lleida,Khyle Marshall,https://www.proballers.com/es/baloncesto/jugador/38738/khyle-marshall,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Josep Perez,https://www.proballers.com/es/baloncesto/jugador/37846/josep-perez,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Jorge Garcia,https://www.proballers.com/es/baloncesto/jugador/6043/jorge-garcia,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Juan Pablo Sutina,https://www.proballers.com/es/baloncesto/jugador/46789/juan-pablo-sutina,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Alfonso Alzamora,https://www.proballers.com/es/baloncesto/jugador/7214/alfonso-alzamora,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Gerard Sevillano,https://www.proballers.com/es/baloncesto/jugador/62398/gerard-sevillano,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Alexander Craig Greven,https://www.proballers.com/es/baloncesto/jugador/69935/alexander-craig-greven,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Tomas Hampl,https://www.proballers.com/es/baloncesto/jugador/44009/tomas-hampl,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Jose Simeon Lujan,https://www.proballers.com/es/baloncesto/jugador/47887/jose-simeon-lujan,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Jaime Heras,https://www.proballers.com/es/baloncesto/jugador/23747/jaime-heras,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Marc Rubin De Celis,https://www.proballers.com/es/baloncesto/jugador/62277/marc-rubin-de-celis,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Marti Duch,https://www.proballers.com/es/baloncesto/jugador/69936/marti-duch,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
2015-2016,Hiopos Lleida,Arnau Triginer,https://www.proballers.com/es/baloncesto/jugador/57253/arnau-triginer,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida/2015
