id_partido,fecha,temporada,ano_inicio,uri_local,uri_visitante,puntos_local,puntos_visitante,cobertura_local,rebotes_local,asistencias_local,robos_local,perdidas_local,valoracion_local,porc_t3_local,cobertura_visitante,rebotes_visitante,asistencias_visitante,robos_visitante,perdidas_visitante,valoracion_visitante,porc_t3_visitante
20160122_caceres_rioverde-clavijo,2016-01-22,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/910/rioverde-clavijo,https://www.proballers.com/es/baloncesto/equipo/152/caceres,78,81,1.0,26.0,11.0,12.0,8.0,75.0,28.57,1.0,34.0,11.0,2.0,15.0,81.0,31.82
20160205_alimerka-oviedo_caceres,2016-02-05,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2243/alimerka-oviedo,76,83,1.0,36.0,14.0,6.0,14.0,75.0,32.14,1.0,50.0,16.0,8.0,12.0,96.0,12.9
20160212_caceres_ourense,2016-02-12,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/670/ourense,https://www.proballers.com/es/baloncesto/equipo/152/caceres,59,70,1.0,26.0,6.0,9.0,14.0,51.0,26.09,1.0,31.0,7.0,11.0,14.0,71.0,29.17
20160219_caceres_fc-barcelona-ii,2016-02-19,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/2244/fc-barcelona-ii,https://www.proballers.com/es/baloncesto/equipo/152/caceres,75,69,1.0,43.0,16.0,5.0,12.0,82.0,30.3,1.0,33.0,15.0,4.0,12.0,69.0,34.78
20160304_caceres_hiopos-lleida,2016-03-04,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/219/hiopos-lleida,https://www.proballers.com/es/baloncesto/equipo/152/caceres,77,60,1.0,36.0,12.0,8.0,14.0,78.0,34.61,1.0,27.0,8.0,4.0,18.0,50.0,35.29
20160311_caceres_super-agropal-palencia,2016-03-11,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/1562/super-agropal-palencia,82,78,1.0,33.0,14.0,6.0,18.0,87.0,40.0,1.0,28.0,14.0,12.0,13.0,80.0,38.09
20160318_caceres_melilla-ciudad-del-deporte-1,2016-03-18,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/667/melilla-ciudad-del-deporte-1,https://www.proballers.com/es/baloncesto/equipo/152/caceres,78,64,1.0,31.0,18.0,8.0,9.0,85.0,21.05,1.0,31.0,11.0,6.0,16.0,66.0,35.29
20160323_caceres_navarra,2016-03-23,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2113/navarra,90,83,1.0,33.0,23.0,11.0,9.0,114.0,33.33,1.0,35.0,15.0,4.0,17.0,88.0,43.75
20160327_caceres_leyma-coruna,2016-03-27,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/152/caceres,https://www.proballers.com/es/baloncesto/equipo/2114/leyma-coruna,69,85,1.0,29.0,19.0,12.0,10.0,74.0,25.0,1.0,34.0,10.0,4.0,18.0,93.0,56.25
20160402_caceres_rio-breogan,2016-04-02,2015-2016,2015,https://www.proballers.com/es/baloncesto/equipo/149/rio-breogan,https://www.proballers.com/es/baloncesto/equipo/152/caceres,77,56,1.0,40.0,19.0,14.0,12.0,99.0,36.11,1.0,34.0,11.0,6.0,17.0,53.0,29.41
